evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.0,deepseek-3.1
gemini-2.5-flash,-0.05263157894736836,-0.21447368421052637,0.07105263157894726,-0.26578947368421046,0.0,0.19999999999999996,-0.28026315789473694,,-0.07894736842105277,0.10723684210526307,,0.43026315789473685,-0.05263157894736836,-0.05526315789473679,,0.048684210526315774,0.09736842105263166,0.025000000000000022,,0.06973684210526321
gemini-2.5-pro,0.0,-0.13157894736842102,0.0,-0.05263157894736836,0.0,0.0,-0.3157894736842105,,0.0,-0.013815789473684226,-0.24342105263157898,,0.0,0.0,,0.0,0.0,-0.03289473684210531,,0.022368421052631593
ll-3.1-8b,0.1697368421052631,-0.04210526315789481,0.34736842105263155,0.03684210526315779,0.18815789473684208,0.2657894736842105,0.1868421052631578,,0.1947368421052631,0.3460526315789473,0.2131578947368421,0.2921052631578947,,0.24736842105263157,,0.3197368421052631,0.3710526315789473,0.08157894736842099,,0.2671052631578947
ll-3.1-70b,-0.12631578947368427,-0.2302631578947369,0.023684210526315697,-0.0013157894736842701,-0.12763157894736837,0.04736842105263156,-0.031578947368421095,,-0.275,-0.125,-0.003947368421052699,-0.03026315789473688,-0.27368421052631586,,,0.051315789473684204,0.04868421052631572,0.04868421052631572,,0.09999999999999998
ll-3.1-405b,,,,,,,,,,,,,,,,,,,,
qwen-2.5-7b,-0.125,-0.19999999999999996,-0.025000000000000022,-0.09999999999999998,-0.275,0.0,0.0,,-0.30000000000000004,-0.09999999999999998,0.0,0.025000000000000022,-0.42500000000000004,-0.07499999999999996,,,-0.025000000000000022,-0.026315789473684292,,0.0
qwen-2.5-72b,-0.09736842105263155,-0.3855263157894737,-0.051315789473684315,-0.20657894736842103,-0.1723684210526315,-0.05263157894736842,-0.08026315789473687,,-0.3460526315789474,-0.17368421052631577,-0.07894736842105271,-0.13026315789473691,-0.13421052631578945,0.08289473684210535,,0.006578947368421018,,-0.05394736842105269,,0.15394736842105267
qwen-3.0-80b,0.12105263157894719,-0.2973684210526315,0.06973684210526321,-0.09342105263157896,0.013157894736842146,-0.011842105263157876,0.08157894736842097,,0.1986842105263158,0.2723684210526316,0.18552631578947365,0.10789473684210527,0.025000000000000022,0.2723684210526316,,0.24736842105263168,0.09078947368421053,,,0.09078947368421053
deepseek-3.0,,,,,,,,,,,,,,,,,,,,
deepseek-3.1,-0.03421052631578947,-0.668421052631579,-0.042105263157894646,-0.4407894736842106,-0.1868421052631578,-0.023684210526315863,-0.16973684210526324,,-0.23947368421052628,-0.19605263157894737,-0.06315789473684219,-0.11578947368421058,-0.02894736842105272,0.11447368421052628,,0.06973684210526321,0.19210526315789467,-0.0710526315789474,,
